"Mass Actions","Mass Actions"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"Save Attributes","Save Attributes"
"Preview Image","Preview Image"
"Allowed Extension's : ","Allowed Extension's : "
"Delete File","Delete File"
"* Required Fields","* Required Fields"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Email,Email
Password,Password
"Sign in","Sign in"
"Forgot Your Password?","Forgot Your Password?"
"Don't have account? Click here to register","Don't have account? Click here to register"
"Terms & Conditions","Terms & Conditions"
and,and
"Privacy & cookie Policy","Privacy & cookie Policy"
"Shop URLs","Shop URLs"
"Please enter shop URL","Please enter shop URL"
"Congratulations! Shop name is available.","Congratulations! Shop name is available."
"Sorry! But this shop name is not available, please set another shop name.","Sorry! But this shop name is not available, please set another shop name."
"Vendor Information","Vendor Information"
"Seller Request Panel","Seller Request Panel"
"Waiting for approval from admin","Waiting for approval from admin"
Cancel,Cancel
Save,Save
"Shop URL","Shop URL"
"Do you want to become a seller / vendor ?","Do you want to become a seller / vendor ?"
Back,Back
"Register as Supplier","Register as Supplier"
Account,Account
Information,Information
Personal,Personal
"You are","You are"
Done,Done
"Email Address","Email Address"
"Confirm Password","Confirm Password"
Proceed,Proceed
"First Name","First Name"
"Last Name","Last Name"
Phone,Phone
"Company Name","Company Name"
"Company Url","Company Url"
"This will be used to display your public profile","This will be used to display your public profile"
"Address Information","Address Information"
Country,Country
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
City,City
"Address Line","Address Line"
"Zip/Postal Code","Zip/Postal Code"
Register,Register
"Voila! Account Created!","Voila! Account Created!"
"You have successfully registered as Supplier with us.","You have successfully registered as Supplier with us."
"Go to Dashboard","Go to Dashboard"
"Create a MicroSite","Create a MicroSite"
"You can setup and customize your very own MicroSite for free, where you can showcase your information and products.","You can setup and customize your very own MicroSite for free, where you can showcase your information and products."
"Choose Relevant Categories","Choose Relevant Categories"
"You can choose the categories you want to sell forand you will only receive relevant product quotations.","You can choose the categories you want to sell forand you will only receive relevant product quotations."
"Get Premium Badge","Get Premium Badge"
"You can verify your business and become a Preminum Supplierfor free to receive relatively more quotations.","You can verify your business and become a Preminum Supplierfor free to receive relatively more quotations."
"Allowed extensions: ","Allowed extensions: "
"Filename is too long; must be 90 characters or less","Filename is too long; must be 90 characters or less"
Next,Next
"There was error during verifying seller shop data","There was error during verifying seller shop data"
"* Some field(s) of previous page(s) or current page are not filled properly.","* Some field(s) of previous page(s) or current page are not filled properly."
"Create Account","Create Account"
"Select Customer Group","Select Customer Group"
"Select Vendor Group","Select Vendor Group"
Choose...,Choose...
"Attribute Manager","Attribute Manager"
"Attribute Group Manager","Attribute Group Manager"
"Vendor Attributes Settings","Vendor Attributes Settings"
"Visible on Registration","Visible on Registration"
"Visible on Profile","Visible on Profile"
"File Display on Vendor Profile","File Display on Vendor Profile"
"Display Registration Fields Group Wise","Display Registration Fields Group Wise"
"If this field set to 'Yes' make sure atleast one vendor group created.","If this field set to 'Yes' make sure atleast one vendor group created."
"Image Display on Vendor Profile","Image Display on Vendor Profile"
"Allowed Image Extension","Allowed Image Extension"
"Enter File type seperated by comma(,) like jpg,png,gif","Enter File type seperated by comma(,) like jpg,png,gif"
"Allowed File Extension","Allowed File Extension"
"Enter File type seperated by comma(,) like pdf,zip,doc","Enter File type seperated by comma(,) like pdf,zip,doc"
"Seller Profile Label","Seller Profile Label"
"Terms & Conditions and  Privacy Setting","Terms & Conditions and  Privacy Setting"
"Enable Terms and Conditions on Vendor Registration Page","Enable Terms and Conditions on Vendor Registration Page"
"Enable Terms and Conditions on Customer Registration Page","Enable Terms and Conditions on Customer Registration Page"
"Privacy Popup Model Heading","Privacy Popup Model Heading"
"Term and Condition Popup Model Heading","Term and Condition Popup Model Heading"
"Model Button Text","Model Button Text"
"Button Text Color","Button Text Color"
"Save hexa code e.g: #FFFFFF, leave blank for default","Save hexa code e.g: #FFFFFF, leave blank for default"
"Model Button Color","Model Button Color"
"Model Background Color","Model Background Color"
"Model Animation Type","Model Animation Type"
"Show Content as","Show Content as"
"Privacy & Cookie Policy","Privacy & Cookie Policy"
"Vendor Attribute Manager Product Information","Vendor Attribute Manager Product Information"
