"Unable to remove quote %1","Unable to remove quote %1"
"You can't edit quote items","You can't edit quote items"
"Status for Quote Product ""%1"" is declined","Status for Quote Product ""%1"" is declined"
"Sorry, but you can only add maximum %1 quantity of %2 in this cart.","Sorry, but you can only add maximum %1 quantity of %2 in this cart."
"Add to cart for this product is not allowed","Add to cart for this product is not allowed"
Edit,Edit
Delete,Delete
"Delete quotes","Delete quotes"
"Are you sure you wan't to delete quotes?","Are you sure you wan't to delete quotes?"
"View Customer","View Customer"
"View Order","View Order"
"View Product","View Product"
Sold,Sold
"Quote Product","Quote Product"
Quantity,Quantity
"Price per Item","Price per Item"
Description,Description
"Add Attachment(s)","Add Attachment(s)"
Product,Product
"Price After Configuration","Price After Configuration"
"Quote Description","Quote Description"
"Quote Detail","Quote Detail"
"Quoted Price","Quoted Price"
"Quoted Quantity","Quoted Quantity"
"'minimum quote quantity limit is ' .","'minimum quote quantity limit is ' ."
"Customer Email","Customer Email"
"Enter Message:","Enter Message:"
"Marketplace Quote System","Marketplace Quote System"
Conversations:,Conversations:
Me,Me
"Check To Update Quote","Check To Update Quote"
"Enter Message","Enter Message"
Back,Back
Update,Update
Pending,Pending
"No Quotes Available","No Quotes Available"
"Quote Id","Quote Id"
"Quote Product Name","Quote Product Name"
"Quote Product Status","Quote Product Status"
"Search by Quote Id","Search by Quote Id"
"Search by product name","Search by product name"
All,All
Submit,Submit
"Delete Quotes","Delete Quotes"
ID,ID
"Add To Cart","Add To Cart"
View,View
"Multi-Address checkout is not available for Quote Products","Multi-Address checkout is not available for Quote Products"
"Allowed Types :","Allowed Types :"
"Please select options","Please select options"
"Quote This Product","Quote This Product"
"Enter Quote Details","Enter Quote Details"
"Minimum quote quantity limit is %1","Minimum quote quantity limit is %1"
Reset,Reset
Login,Login
Menu,Menu
"Enter a valid minimum quantity","Enter a valid minimum quantity"
"Quote Status","Quote Status"
Disabled,Disabled
Enabled,Enabled
"Minimum Quote Quantity","Minimum Quote Quantity"
Save,Save
"Quote Category","Quote Category"
"To BECOME SELLER PLEASE CONTACT TO ADMIN.","To BECOME SELLER PLEASE CONTACT TO ADMIN."
%customer_name,%customer_name
%quoteTitle,%quoteTitle
"Quote Qty","Quote Qty"
Sku,Sku
"Product Price","Product Price"
Description:,Description:
"New message:","New message:"
"New Message :","New Message :"
"New Status :","New Status :"
"Create an Account","Create an Account"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"*You will be redirected to Create Account Page","*You will be redirected to Create Account Page"
"Email Address","Email Address"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
or,or
"* Required Fields","* Required Fields"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Bundle Product can't be Quoted.","Bundle Product can't be Quoted."
"Invalid Image Extension. Allowed extensions are ","Invalid Image Extension. Allowed extensions are "
" Are you sure you want to edit this quote ? "," Are you sure you want to edit this quote ? "
" No Checkbox is checked "," No Checkbox is checked "
" Are you sure you want to delete these quotes ? "," Are you sure you want to delete these quotes ? "
" Are you sure you want to delete this quote ? "," Are you sure you want to delete this quote ? "
"Requested Amount is not available please contact Admin","Requested Amount is not available please contact Admin"
"Something Went Wrong, Please try again later","Something Went Wrong, Please try again later"
"There is some error during executing this process, please try again later.","There is some error during executing this process, please try again later."
"Confirm Action","Confirm Action"
"You will be redirected to Login/Sign Up page","You will be redirected to Login/Sign Up page"
Saving,Saving
"Add to Quote","Add to Quote"
Adding...,Adding...
Added,Added
"Minimum quote quantity limit is ","Minimum quote quantity limit is "
"Are you sure you want to update status of selected quotes?","Are you sure you want to update status of selected quotes?"
Webkul,Webkul
"Marketplace QuoteSystem","Marketplace QuoteSystem"
"Marketplace QuoteSystem Settings","Marketplace QuoteSystem Settings"
"Enable Quote System for products","Enable Quote System for products"
"Allow To use Discount while quote product is in cart","Allow To use Discount while quote product is in cart"
"Allow customer to apply discount when customer added quote product in cart","Allow customer to apply discount when customer added quote product in cart"
"Show Product Price","Show Product Price"
"Show Add to Cart","Show Add to Cart"
"Marketplace Quote Configuration","Marketplace Quote Configuration"
"Allowed Type For Attachment","Allowed Type For Attachment"
"Transactional Emails Setting","Transactional Emails Setting"
"New Quote Email","New Quote Email"
"Quote Edit Email","Quote Edit Email"
"Quote Message Email","Quote Message Email"
"Quote Status Update Email","Quote Status Update Email"
"Marketplace QuoteSystem Product Information","Marketplace QuoteSystem Product Information"
Email,Email
Phone,Phone
"ZIP/Post Code","ZIP/Post Code"
Country,Country
State/Province,State/Province
"Signed-up Point","Signed-up Point"
Website,Website
"Add New Quote","Add New Quote"
"Are you sure to delete selected Quotes?","Are you sure to delete selected Quotes?"
"Update Quotes","Update Quotes"
"Customer Name","Customer Name"
"Are you sure you want to delete selected products?","Are you sure you want to delete selected products?"
